phase,q,q_err,u,u_err,PD,PD_err,PA,PA_err
0.05,-0.453479528427124,0.13891173999849796,-0.12276870757341385,0.13946386753146053,0.4698040424067605,0.13894951325793065,-1.4386021270659903,0.14838764786520023
0.1,-0.5763460993766785,0.1385601436348623,-0.21933171153068542,0.13934039795564043,0.6166694624753944,0.13865909007790125,-1.3889801376072692,0.11289835489614057
0.14999999999999994,-0.5055562853813714,0.13571464798371205,-0.14003702998161316,0.13636442748446462,0.5245927253162037,0.13576105369566827,-1.4356858986681755,0.1299276758862379
0.2,-0.5908624529838562,0.1628535541265339,-0.3478321135044098,0.1636137989915755,0.6856424852144478,0.16304955078446942,-1.3047671185257403,0.11917178602012284
0.2375,-0.37629076838493347,0.13400382055562804,-0.21985501050940967,0.13425039614880127,0.43581070204598726,0.13406661549952878,-1.3064102079851412,0.15395180358995633
0.2999999999999999,-0.3603793680667877,0.12999586311949413,-0.3850635588169098,0.12994703369810084,0.5273966564711622,0.12996983555206046,-1.1615465651499775,0.12322135932880493
0.375,-0.3127756416797638,0.17790686481806167,-0.7226163148880005,0.17639196706649055,0.787402654663103,0.1766318620234916,-0.9896434350141652,0.11281946433251482
0.4249999999999999,-0.0926799550652504,0.18349138743188018,-0.7303346991539001,0.18156340292634288,0.7361917867370666,0.18159411833098923,-0.848511150093319,0.1246013559083673
0.47499999999999976,0.1485910564661026,0.1913950319113884,-0.6741073727607727,0.1897917353642627,0.6902898319344881,0.1898663255067046,-0.6769196751014485,0.1385802230556943
0.5250000000000002,-0.49322643876075745,0.20025204493653054,-0.9214156270027161,0.1978713261788043,1.0451215611484759,0.1984040324147304,-1.0311386736138277,0.09555073554141999
0.5749999999999995,-0.4501017928123474,0.14867282559082237,-0.32643750309944153,0.14895310301008138,0.5560153480999308,0.1487694935721542,-1.2570594493198128,0.13386011265166795
0.675,-0.5213714838027954,0.124285193610022,-0.14334736764431,0.12490940435848998,0.5407186809545991,0.12432916602857733,-1.436639782349326,0.11546266170716037
0.8,-0.6015546917915344,0.1834815240916075,0.20437289774417877,0.18465097172597536,0.6353237981917257,0.1836028840321086,1.40704308520678,0.14522539656725217
0.8499999999999998,-0.5101819634437561,0.1737687221278718,-0.13070257008075714,0.1746129006662872,0.5266581411589888,0.17382083361622783,-1.4453991943708335,0.16572517539437126
0.9,-0.26114052534103394,0.10990175059025974,0.08887641131877899,0.11003426083314935,0.27585030444843806,0.10991551349429883,1.406774970928606,0.19942068398959073
